Gene Name,Alternative Name,Map Position,Start(BP),ORF ID
trmD,b2607,ECK2604,JW2588,2563
rpsP,b2609,ECK2606,JW2590,2565
ffh,b2610,ECK2607,JW5414,2566
grpE,b2614,ECK2610,JW2594,2570
nadK,b2615,ECK2611,JW2596,2571
serV,b2695,ECK2690,JWR0061,48
csrA,b2696,ECK2691,JW2666,2647
alaS,b2697,ala-act,act,2648
ispF,b2746,ECK2741,JW2716,2697
ispD,b2747,ECK2742,f236,2698
ftsB,b2748,ECK2743,f103,2699
eno,b2779,ECK2773,JW2750,2732
pyrG,b2780,ECK2774,JW2751,2733
lgt,b2828,ECK2824,JW2796,2778
prfB,b2891,ECK2886,JW5847,2840
fbaA,b2925,ald,ECK2921,4325
pgk,b2926,ECK2922,JW2893,2874
metK,b2942,ECK2937,JW2909,2890
yqgF,b2949,ECK2944,JW2916,2897
plsC,b3018,ECK3009,JW2986,2966
parC,b3019,ECK3010,JW2987,2967
parE,b3030,ECK3021,JW2998,2978
ribB,b3041,ECK3032,htrP,2989
cca,b3056,ECK3046,JW3028,3004
folB,b3058,ECK3048,f123,3006
tsaD,b3064,ECK3054,f337,3012
dnaG,b3066,dnaP,ECK3056,3014
rpoD,b3067,alt,ECK3057,3015
rnpB,b3123,ECK3111,JWR0070,6
infB,b3168,ECK3157,f890,3114
nusA,b3169,ECK3158,f495,3115
leuU,b3174,ECK3163,JWR0072,56
glmM,b3176,ECK3165,f445,3120
ftsH,b3178,ECK3167,f644,3122
obgE,b3183,cgtA,ECK3172,4326
rpmA,b3185,ECK3174,f85,3129
rplU,b3186,ECK3175,f103,3130
ispB,b3187,cel,ECK3176,3131
murA,b3189,ECK3178,f419,3133
kdsC,b3198,ECK3187,JW3165,3142
lptC,b3199,ECK3188,JW3166,3143
lptA,b3200,ECK3189,JW3167,3144
lptB,b3201,ECK3190,JW3168,3145
rpsI,b3230,ECK3219,f130,3174
rplM,b3231,ECK3220,f142,3175
degS,b3235,ECK3224,hhoB,3179
mreD,b3249,ECK3237,f162,3193
mreC,b3250,ECK3238,JW3219,3194
mreB,b3251,ECK3239,envB,3195
accB,b3255,ECK3242,fabE,3199
accC,b3256,ECK3243,fabG,3200
tsaC,b3282,ECK3269,f190,3219
def,b3287,ECK3273,fms,3224
fmt,b3288,ECK3274,JW3249,3225
rplQ,b3294,ECK3281,f127,3231
rpoA,b3295,ECK3282,f329,3232
rpsD,b3296,ECK3283,f206,3233
rpsK,b3297,ECK3284,f129,3234
rpsM,b3298,ECK3285,f118,3235
secY,b3300,ECK3287,f443,3237
rplO,b3301,ECK3288,f144,3238
rpmD,b3302,ECK3289,f59,3239
rpsE,b3303,ECK3290,eps,3240
rplR,b3304,ECK3291,f117,3241
rplF,b3305,ECK3292,f177,3242
rpsH,b3306,ECK3293,f130,3243
rpsN,b3307,ECK3294,f101,3244
rplE,b3308,ECK3295,f179,3245
rplX,b3309,ECK3296,f104,3246
rplN,b3310,ECK3297,f123,3247
rpsQ,b3311,ECK3298,f84,3248
rpmC,b3312,ECK3299,f63,3249
rplP,b3313,ECK3300,f136,3250
rpsC,b3314,ECK3301,f233,3251
rplV,b3315,ECK3302,eryB,3252
rpsS,b3316,ECK3303,f92,3253
rplB,b3317,ECK3304,f273,3254
